iter	Passed	Remaining
0	0	63
1	1	57
2	1	55
3	2	53
4	2	52
5	3	51
6	3	50
7	4	51
8	5	52
9	5	52
10	6	52
11	7	52
12	7	52
13	8	52
14	9	51
15	9	50
16	10	49
17	10	49
18	11	48
19	11	47
20	12	46
21	13	47
22	13	46
23	14	46
24	15	45
25	15	45
26	16	45
27	17	44
28	18	44
29	18	43
30	19	43
31	19	42
32	20	42
33	21	41
34	22	40
35	22	40
36	23	39
37	24	39
38	24	38
39	25	37
40	25	37
41	26	36
42	26	35
43	27	35
44	28	34
45	28	33
46	29	33
47	30	32
48	30	32
49	31	31
50	32	30
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	27
57	36	26
58	37	25
59	38	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	53	10
83	54	10
84	55	9
85	55	9
86	56	8
87	57	7
88	57	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	62	3
95	62	2
96	63	1
97	64	1
98	64	0
99	65	0
